order_id,customer_id,order_date,status,total_items,payment_method,shipping_city
N/A,C00223,2024-12-01T13:19:50,cancelled,1,null,Noida
O0000002,32-13-2025,invalid,###BAD###,3,netbanking,Mumbai
,C00273,2025-03-14T02:34:30,null,2,upi,###BAD###
null,nan,,not_a_date,1,@@@,Kolkata
 ,C00756,null,9999-99-99,nan,netbanking,null
O0000006,not_a_date,2024-10-01T10:10:40,delivered,1,card,Chennai
O0000007,C00493,@@@,delivered,1,netbanking,Delhi
###BAD###,C00242,,null,2,card,Hyderabad
123abc,C00809,nan,cancelled,1,cod,Bengaluru
O0000010,@@@,2023-07-03T07:10:31,delivered,2,N/A,Mumbai
O0000011,nan, ,delivered,NULL,card,null
O0000012,C00500,2024-04-21T10:35:50,,3,upi,Noida
O0000013,C00751,123abc,delivered,invalid,9999-99-99,not_a_date
O0000014,,2023-03-22T15:45:28,delivered,1,,invalid
O0000015,C00581, ,delivered,1,upi,null
9999-99-99,C00071,2023-11-14T14:18:52,9999-99-99,1,upi,Noida
,nan,2025-11-02T12:46:11,nan,1,32-13-2025,Kolkata
nan,32-13-2025,2023-05-10T21:34:52,delivered,1,N/A,Bengaluru
O0000019,C00628,2024-08-02T10:26:41,null,1,card,Delhi
O0000020,N/A,9999-99-99,delivered,1,32-13-2025,9999-99-99
9999-99-99,###BAD###,invalid,delivered,1,###BAD###,Chennai
@@@,C00051,2025-01-20T07:38:45,delivered,1,netbanking,
O0000023,###BAD###, ,null,1,@@@,Pune
###BAD###,C00814,2023-04-30T19:17:33,delivered,1,not_a_date,Chennai
O0000025,123abc,2024-03-18T16:06:06,delivered,1,cod, 
O0000026,C00198,2024-05-24T18:40:11,N/A,2,cod,NULL
O0000027,null,2025-01-03T21:29:44,delivered,nan,card,N/A
O0000028,9999-99-99,2024-01-05T17:25:32,delivered,NULL,nan,Noida
O0000029,C00956,2024-12-22T10:35:20,processing,1,nan,9999-99-99
O0000030,C00846,null,delivered,32-13-2025,N/A,Chennai
N/A,32-13-2025,N/A,delivered,1,upi,9999-99-99
N/A,C00531,invalid,shipped,1,32-13-2025,9999-99-99
O0000033,C00023,32-13-2025,nan,1,not_a_date,Delhi
invalid,C00039,NULL,delivered,2,invalid,NULL
@@@,C00263,2024-09-07T02:36:25,delivered,@@@,netbanking,Delhi
,C00741,,9999-99-99,2,card,Chennai
###BAD###,C00039,32-13-2025,,N/A,upi,not_a_date
@@@,C00901,2025-06-08T13:59:55,delivered,###BAD###,netbanking,@@@
