payment_id,order_id,amount,payment_date,payment_method,status
PM0000001,O0000001,1386.39,2024-12-01T13:19:50,upi,NULL
9999-99-99,O0000002,9329.84,not_a_date,netbanking,32-13-2025
 ,O0000003,10078.59,2025-03-14T02:34:30,upi,paid
PM0000004,NULL,4553.52,2023-01-26T03:49:45,cod,paid
PM0000005, ,invalid,2023-03-10T06:29:47,netbanking,###BAD###
32-13-2025,nan,656.96,2024-10-01T10:10:40,card,###BAD###
PM0000007,N/A,790.74,2024-09-03T06:23:56,not_a_date,32-13-2025
PM0000008,9999-99-99,2750.24,2025-06-08T10:00:10,card,refunded
PM0000009,O0000009,4360.45,123abc,cod, 
PM0000010,O0000010,null,###BAD###,upi,9999-99-99
###BAD###,O0000011,804.63,123abc,card,paid
 ,O0000012,NULL,2024-04-21T10:35:50,N/A,paid
PM0000013,O0000013,@@@,N/A,N/A,paid
PM0000014, ,440.83,NULL,cod, 
invalid,N/A,1527.46,not_a_date,upi,nan
PM0000016,null,2197.12,2023-11-14T14:18:52,upi,paid
 ,O0000017,2424.93,2025-11-02T12:46:11,@@@,paid
PM0000018,N/A,167.58,NULL,9999-99-99,
PM0000019,O0000019,9999-99-99,not_a_date,not_a_date, 
9999-99-99,NULL,492.54,2023-09-23T05:55:02,N/A,paid
PM0000021,O0000021,492.54,2023-03-07T18:41:53,@@@,@@@
PM0000022,null,null,NULL,not_a_date, 
PM0000023,O0000023,3372.98,2023-06-13T14:51:40,,paid
N/A,,3641.67,9999-99-99,card,paid
PM0000025,O0000025,32-13-2025,2024-03-18T16:06:06,cod,paid
NULL,O0000026,9599.26,2024-05-24T18:40:11,cod,paid
PM0000027,O0000027,NULL,2025-01-03T21:29:44,card,paid
N/A,O0000028,invalid,2024-01-05T17:25:32,netbanking,paid
PM0000029,O0000029,,2024-12-22T10:35:20,cod,
PM0000030,O0000030,4114.04,2024-10-24T19:15:36,@@@, 
PM0000031,O0000031,nan,@@@,32-13-2025,paid
PM0000032,O0000032,137.44,2023-10-04T09:00:19,nan,@@@
PM0000033,O0000033,,2024-07-19T17:32:35,netbanking,NULL
, ,3422.07,NULL,netbanking, 
32-13-2025,###BAD###,9999-99-99,2024-09-07T02:36:25,netbanking,paid
